INFO - 2024-03-13 14:14:28,391 в строке 40 : Folder_object(name='task_2', directory=False, extension='py', parents_directory='seminar_12')
INFO - 2024-03-13 14:14:28,391 в строке 40 : Folder_object(name='task_3', directory=False, extension='py', parents_directory='seminar_12')
INFO - 2024-03-13 14:14:28,391 в строке 40 : Folder_object(name='task_4', directory=False, extension='py', parents_directory='seminar_12')
INFO - 2024-03-13 14:14:28,391 в строке 40 : Folder_object(name='task_5', directory=False, extension='py', parents_directory='seminar_12')
INFO - 2024-03-13 14:14:28,391 в строке 40 : Folder_object(name='task_6', directory=False, extension='py', parents_directory='seminar_12')
INFO - 2024-03-13 14:14:28,392 в строке 40 : Folder_object(name='factorial', directory=False, extension='json', parents_directory='primer')
INFO - 2024-03-13 14:14:28,392 в строке 40 : Folder_object(name='task_1', directory=False, extension='py', parents_directory='primer')
INFO - 2024-03-13 14:14:28,392 в строке 40 : Folder_object(name='task_2', directory=False, extension='py', parents_directory='primer')
INFO - 2024-03-13 14:14:28,392 в строке 40 : Folder_object(name='task_3', directory=False, extension='py', parents_directory='primer')
INFO - 2024-03-13 14:14:28,392 в строке 40 : Folder_object(name='task_4', directory=False, extension='py', parents_directory='primer')
INFO - 2024-03-13 14:14:28,392 в строке 40 : Folder_object(name='task_5', directory=False, extension='py', parents_directory='primer')
INFO - 2024-03-13 14:14:28,392 в строке 40 : Folder_object(name='task_6', directory=False, extension='py', parents_directory='primer')
INFO - 2024-03-13 14:14:28,392 в строке 38 : Folder_object(name='__pycache__', directory=True, extension='no ext', parents_directory='seminar_13')
INFO - 2024-03-13 14:14:28,392 в строке 40 : Folder_object(name='task_1', directory=False, extension='py', parents_directory='seminar_13')
INFO - 2024-03-13 14:14:28,392 в строке 40 : Folder_object(name='task_2', directory=False, extension='py', parents_directory='seminar_13')
INFO - 2024-03-13 14:14:28,392 в строке 40 : Folder_object(name='task_3', directory=False, extension='py', parents_directory='seminar_13')
INFO - 2024-03-13 14:14:28,392 в строке 40 : Folder_object(name='task_4', directory=False, extension='py', parents_directory='seminar_13')
INFO - 2024-03-13 14:14:28,392 в строке 40 : Folder_object(name='task_5', directory=False, extension='py', parents_directory='seminar_13')
INFO - 2024-03-13 14:14:28,392 в строке 40 : Folder_object(name='task_5_1', directory=False, extension='py', parents_directory='seminar_13')
INFO - 2024-03-13 14:14:28,392 в строке 40 : Folder_object(name='task_6', directory=False, extension='py', parents_directory='seminar_13')
INFO - 2024-03-13 14:14:28,392 в строке 40 : Folder_object(name='users', directory=False, extension='json', parents_directory='seminar_13')
INFO - 2024-03-13 14:14:28,392 в строке 40 : Folder_object(name='task_3', directory=False, extension='no ext', parents_directory='__pycache__')
INFO - 2024-03-13 14:14:28,392 в строке 40 : Folder_object(name='task_4', directory=False, extension='no ext', parents_directory='__pycache__')
INFO - 2024-03-13 14:14:28,392 в строке 38 : Folder_object(name='.pytest_cache', directory=True, extension='no ext', parents_directory='seminar_14')
INFO - 2024-03-13 14:14:28,392 в строке 38 : Folder_object(name='__pycache__', directory=True, extension='no ext', parents_directory='seminar_14')
INFO - 2024-03-13 14:14:28,392 в строке 40 : Folder_object(name='func', directory=False, extension='py', parents_directory='seminar_14')
INFO - 2024-03-13 14:14:28,392 в строке 40 : Folder_object(name='task_1', directory=False, extension='py', parents_directory='seminar_14')
INFO - 2024-03-13 14:14:28,393 в строке 40 : Folder_object(name='task_2', directory=False, extension='py', parents_directory='seminar_14')
INFO - 2024-03-13 14:14:28,393 в строке 40 : Folder_object(name='task_2_1', directory=False, extension='py', parents_directory='seminar_14')
